id,chat_time,platform,user_id,agent_id,conversation_id,intent_id,is_fallback,total_fallbacks,user_response,Sentiment,Code,combined
3802081,9/23/2020 18:18,Facebook,2.06E+15,238,3090,3670,0,0,Ok maybe later. Thank you,positive,1,Ok maybe later. Thank you
2538981,6/2/2020 19:45,Facebook,2.07E+15,238,3090,3526,0,0,What are the kinds of marinated chicken breast and or how much are they,positive,1,What are the kinds of marinated chicken breast and or how much are they
2416373,5/21/2020 19:20,Facebook,2.08E+15,238,3090,3532,0,0,Are this all at milford ohio?? If so what are the price's please.,positive,1,Are this all at milford ohio?? If so what are the price's please.
3851655,9/27/2020 23:27,Facebook,2.08E+15,238,3103,-1,0,0,St.charles,positive,1,St.charles
2932691,7/7/2020 18:17,Facebook,2.19E+15,238,3090,3526,0,2,Prices on beef steaks pork chicken and seafood,positive,1,Prices on beef steaks pork chicken and seafood
3331853,8/13/2020 23:38,Facebook,2.33E+15,238,3103,-1,0,2,Price,positive,1,Price
4222911,10/27/2020 14:52,Facebook,2.34E+15,238,3103,-1,0,0,What is the price?,positive,1,What is the price?
2407768,5/20/2020 23:48,Facebook,2.37E+15,238,3103,-1,0,0,I would like quantities and pricing per case please,positive,1,I would like quantities and pricing per case please
3884065,9/30/2020 16:33,Facebook,2.37E+15,238,3090,3537,0,0,I'm here at the altavista spot and nobody is here. Did you move locations?,positive,1,I'm here at the altavista spot and nobody is here. Did you move locations?
4319718,11/4/2020 14:16,Facebook,2.38E+15,238,3090,3532,0,0,what are the prices?,positive,1,what are the prices?
2329348,5/13/2020 21:29,Facebook,2.40E+15,238,3090,3540,0,0,Oh ok. I heard an ad on the radio today that mentioned 20 ribeye steaks for $29.95.,negative,0,"Oh ok. I heard an ad on the radio today that mentioned 20 ribeye steaks for $29.95., Do you deliver?"
2617834,6/10/2020 18:40,Facebook,2.40E+15,238,3090,60,1,3,Do you deliver?,positive,1,Do you deliver?
2321601,5/13/2020 10:30,Facebook,2.44E+15,238,3090,3,0,0,"Hi, I am wondering how to find the prices for the meats? Thank you!",positive,1,"Hi, I am wondering how to find the prices for the meats? Thank you!"
4385362,11/10/2020 10:24,Facebook,2.44E+15,238,3103,-1,0,0,reneejohnson493@gmail.com,positive,1,reneejohnson493@gmail.com
2776025,6/24/2020 13:24,Facebook,2.45E+15,238,3090,3532,0,0,How much,positive,1,How much
2313701,5/12/2020 18:40,Facebook,2.46E+15,5,32,7,0,5,What is your phone number?,negative,0,"What is your phone number?, hi, lkjlkj, contact, What is your phone number?, colorado, testpricing"
4035402,10/13/2020 14:38,Facebook,2.46E+15,5,32,3,0,23,hi,positive,1,"hi, lkjlkj, contact, What is your phone number?, colorado, testpricing"
4242713,10/28/2020 19:37,Facebook,2.46E+15,5,32,60,1,32,lkjlkj,negative,0,"lkjlkj, contact, What is your phone number?, colorado, testpricing"
3392044,8/19/2020 16:15,Facebook,2.46E+15,5,32,1275,0,23,contact,negative,0,"contact, What is your phone number?, colorado, testpricing"
2313724,5/12/2020 18:43,Facebook,2.46E+15,5,32,7,0,5,What is your phone number?,Negative,0,"What is your phone number?, colorado, testpricing"
3392067,8/19/2020 16:15,Facebook,2.46E+15,5,32,1420,0,23,colorado,positive,1,"colorado, testpricing"
2736826,6/21/2020 0:02,Facebook,2.46E+15,5,32,3832,0,23,testpricing,positive,1,testpricing
2565567,6/4/2020 23:10,Facebook,2.47E+15,238,3090,3525,0,2,Steak,positive,1,"Steak, Steak"
2565567,6/4/2020 23:10,Facebook,2.47E+15,238,3090,3525,0,2,Steak,positive,1,Steak
2781901,6/24/2020 20:15,Facebook,2.48E+15,238,3090,3,0,0,"Hello , why advertise 20 ribeyes for 29.99. If you guys can't offer it? You guys are in my city and can't hold your word on it.",negative,0,"Hello , why advertise 20 ribeyes for 29.99. If you guys can't offer it? You guys are in my city and can't hold your word on it."
4683550,12/3/2020 1:07,Facebook,2.48E+15,238,3090,3954,0,0,"Yes, please.. This weekend I will be in the Louisburg area.",positive,1,"Yes, please.. This weekend I will be in the Louisburg area."
5217992,1/15/2021 18:58,Facebook,2.50E+15,533,11666,3940,0,4,21526,positive,1,"21526, Awesome! Look forward to having it. Hopefully Sleepy Joe won't be coming for my pistol by then lol"
4414952,11/12/2020 18:23,Facebook,2.50E+15,533,10138,60,1,1,Awesome! Look forward to having it. Hopefully Sleepy Joe won't be coming for my pistol by then lol,positive,1,Awesome! Look forward to having it. Hopefully Sleepy Joe won't be coming for my pistol by then lol
2964173,7/10/2020 6:58,Facebook,2.51E+15,334,4331,3,0,0,hello,positive,1,hello
4237174,10/28/2020 14:11,Facebook,2.52E+15,238,3090,3533,0,0,Do you accept credit cards?,positive,1,"Do you accept credit cards?, Do you accept credit cards?"
4237174,10/28/2020 14:11,Facebook,2.52E+15,238,3090,3533,0,0,Do you accept credit cards?,positive,1,Do you accept credit cards?
2450743,5/25/2020 19:18,Facebook,2.52E+15,238,3090,3525,0,0,So I can come to Merrillville tomorrow and get 10steaks for 30 is that right,positive,1,So I can come to Merrillville tomorrow and get 10steaks for 30 is that right
4235418,10/28/2020 10:03,Facebook,2.52E+15,533,10138,4478,0,0,I'm looking for a holster for a Ruger EC9S 9mm,positive,1,I'm looking for a holster for a Ruger EC9S 9mm
2464642,5/27/2020 1:23,Facebook,2.53E+15,238,3090,3526,0,0,Steaks chicken bacon,positive,1,Steaks chicken bacon
4328163,11/5/2020 2:32,Facebook,2.53E+15,238,3090,3532,0,0,is it possible to send me a price list please,positive,1,is it possible to send me a price list please
2380858,5/18/2020 23:30,Facebook,2.53E+15,238,3103,-1,0,0,8025574555,positive,1,8025574555
2804220,6/26/2020 15:12,Facebook,2.54E+15,238,3090,60,1,1,How about today? Friday 26 june,positive,1,How about today? Friday 26 june
3257199,8/6/2020 21:42,Facebook,2.54E+15,238,3090,3533,0,0,what forms of payment do you take?,positive,1,what forms of payment do you take?
2572809,6/5/2020 17:56,Facebook,2.55E+15,238,3090,3533,0,0,Do you accept ebt?,positive,1,Do you accept ebt?
2814195,6/27/2020 9:12,Facebook,2.55E+15,238,3090,60,1,1,I wanted to be n the drawing,positive,1,I wanted to be n the drawing
2670354,6/15/2020 16:48,Facebook,2.55E+15,5,32,3,0,0,hi,positive,1,hi
2442388,5/24/2020 21:05,Facebook,2.55E+15,238,3090,60,1,1,I'm here when did you close,negative,0,I'm here when did you close
3347508,8/15/2020 17:12,Facebook,2.56E+15,238,3090,3953,0,2,When will you be back in orange Virginia,positive,1,When will you be back in orange Virginia
2580011,6/6/2020 21:47,Facebook,2.58E+15,238,3103,-1,0,0,Alisha,positive,1,"Alisha, Do you guy take EBT"
2580005,6/6/2020 21:47,Facebook,2.58E+15,238,3090,3533,0,0,Do you guy take EBT,positive,1,Do you guy take EBT
2995511,7/13/2020 21:58,Facebook,2.60E+15,238,3090,3527,0,0,I am interested in prices for the drive at the tractor supply. Mainly pork and beef,positive,1,I am interested in prices for the drive at the tractor supply. Mainly pork and beef
3125048,7/25/2020 18:00,Facebook,2.62E+15,238,3090,3532,0,0,Needed the price,positive,1,"Needed the price, Needed the price"
3125048,7/25/2020 18:00,Facebook,2.62E+15,238,3090,3532,0,0,Needed the price,positive,1,Needed the price
2451704,5/25/2020 21:12,Facebook,2.62E+15,238,3090,3533,0,0,Do you take EBT,positive,1,Do you take EBT
2325393,5/13/2020 17:02,Facebook,2.63E+15,238,3090,60,1,1,You don't deliver right?,positive,1,You don't deliver right?
2752213,6/22/2020 15:31,Facebook,2.63E+15,238,3090,3533,0,0,do you take food stamps,positive,1,do you take food stamps
2594187,6/8/2020 17:15,Facebook,2.63E+15,238,3103,-1,0,0,Kentucky,positive,1,"Kentucky, Lexington Kentucky"
2594178,6/8/2020 17:15,Facebook,2.63E+15,238,3103,-1,0,0,Lexington Kentucky,positive,1,Lexington Kentucky
2673841,6/15/2020 21:12,Facebook,2.64E+15,238,3090,4,0,0,No I just did a check on your company and it has a F rating from the BBB,negative,0,No I just did a check on your company and it has a F rating from the BBB
2548153,6/3/2020 17:17,Facebook,2.64E+15,238,3090,3525,0,0,intent-trigger-3525,positive,1,intent-trigger-3525
2445044,5/25/2020 4:30,Facebook,2.66E+15,238,3090,3532,0,0,Yea...prices!!!,negative,0,"Yea...prices!!!, Fuck off"
2445070,5/25/2020 4:33,Facebook,2.66E+15,238,3103,-1,0,0,Fuck off,negative,0,Fuck off
2952621,7/9/2020 3:58,Facebook,2.67E+15,238,3090,60,1,3,Are meats frozen,positive,1,Are meats frozen
2326020,5/13/2020 17:51,Facebook,2.67E+15,238,3090,60,1,3,do u have bacon and wings,positive,1,do u have bacon and wings
2943373,7/8/2020 15:26,Facebook,2.67E+15,238,3090,3530,0,0,Is this event still taking place? I am at the site and there isn't a truck.,negative,0,Is this event still taking place? I am at the site and there isn't a truck.
3364056,8/17/2020 14:12,Facebook,2.67E+15,238,3090,3532,0,0,For how much?,positive,1,For how much?
2400982,5/20/2020 12:42,Facebook,2.68E+15,238,3090,3532,0,0,Do you have a list of your meat prices and I p ackages?,positive,1,Do you have a list of your meat prices and I p ackages?
2453659,5/26/2020 1:00,Facebook,2.68E+15,238,3090,3528,0,2,Price on crab legs,positive,1,Price on crab legs
2511055,5/30/2020 19:07,Facebook,2.69E+15,238,3090,3540,0,0,And is it 20 Ribeyes for $30 and what is your sale when you buy 1 get 2 free I'm coming along way,positive,1,And is it 20 Ribeyes for $30 and what is your sale when you buy 1 get 2 free I'm coming along way
2537819,6/2/2020 18:17,Facebook,2.69E+15,238,3090,4,0,0,Would like to know were all the meat comes from,positive,1,Would like to know were all the meat comes from
2664546,6/15/2020 0:35,Facebook,2.69E+15,238,3090,3531,0,0,Can I see a menu?,positive,1,Can I see a menu?
2477208,5/27/2020 21:36,Facebook,2.69E+15,238,3090,3530,0,0,Went to the Tractor Supply in Merrillville one wanted the 20 ribeyes for $29.99 but was told those boxes didn't come in. Why advertise something you don't have what a disappointment,negative,0,Went to the Tractor Supply in Merrillville one wanted the 20 ribeyes for $29.99 but was told those boxes didn't come in. Why advertise something you don't have what a disappointment
3956357,10/6/2020 19:27,Facebook,2.70E+15,238,3090,3532,0,0,what are you getting what kind of meat and what is the price,positive,1,what are you getting what kind of meat and what is the price
3077251,7/21/2020 16:58,Facebook,2.71E+15,238,3090,3670,0,0,I got what I needed thanks,positive,1,I got what I needed thanks
3726568,9/16/2020 18:35,Facebook,2.71E+15,238,3090,3537,0,0,Where n when in Muskogee OK?,positive,1,Where n when in Muskogee OK?
4024176,10/12/2020 17:20,Facebook,2.72E+15,238,3103,-1,0,2,Manager please,negative,0,Manager please
2745916,6/21/2020 23:42,Facebook,2.72E+15,238,3090,60,1,3,Upcoming dates,positive,1,Upcoming dates
3661933,9/10/2020 17:38,Facebook,2.73E+15,238,3090,3532,0,0,"I've seen your site, but enter are the prices?",negative,0,"I've seen your site, but enter are the prices?, Where can I find a list of products and prices?"
3661676,9/10/2020 17:19,Facebook,2.73E+15,238,3090,3531,0,0,Where can I find a list of products and prices?,positive,1,Where can I find a list of products and prices?
2324276,5/13/2020 15:55,Facebook,2.73E+15,238,3090,4,0,0,I don't know what that means I don't want to go down there and find out it's more than I want to pay.,negative,0,I don't know what that means I don't want to go down there and find out it's more than I want to pay.
2676867,6/16/2020 1:02,Facebook,2.73E+15,238,3090,60,1,1,Have a good day,positive,1,"Have a good day, No"
2676831,6/16/2020 1:01,Facebook,2.73E+15,238,3103,-1,0,0,No,Negative,0,No
2468244,5/27/2020 13:21,Facebook,2.74E+15,238,3090,3532,0,0,prices please,positive,1,prices please
2626613,6/11/2020 14:25,Facebook,2.74E+15,238,3090,3525,0,0,How much do the steaks weigh,positive,1,How much do the steaks weigh
2702329,6/18/2020 2:16,Facebook,2.74E+15,238,3090,3533,0,0,Do you take food stamps,positive,1,Do you take food stamps
2864825,7/1/2020 22:00,Facebook,2.75E+15,238,3090,60,1,3,???,negative,0,"???, intent-trigger-3525"
2864682,7/1/2020 21:50,Facebook,2.75E+15,238,3090,3525,0,0,intent-trigger-3525,positive,1,intent-trigger-3525
3979127,10/8/2020 16:13,Facebook,2.75E+15,238,3090,3532,0,0,Free,positive,1,Free
4044115,10/13/2020 22:50,Facebook,2.75E+15,238,3090,3531,0,0,Do you have a list of what will be available?,positive,1,Do you have a list of what will be available?
2820790,6/27/2020 21:05,Facebook,2.75E+15,238,3090,3538,0,0,Until what time,positive,1,Until what time
3182159,7/30/2020 18:29,Facebook,2.76E+15,238,3090,3532,0,0,I'd like a price first,negative,0,I'd like a price first
2475151,5/27/2020 19:22,Facebook,2.76E+15,238,3090,3532,0,0,How much a case please?,positive,1,"How much a case please?, Could you tell me how much a case of pork is?"
2475139,5/27/2020 19:21,Facebook,2.76E+15,238,3090,3527,0,0,Could you tell me how much a case of pork is?,positive,1,Could you tell me how much a case of pork is?
2689872,6/17/2020 2:37,Facebook,2.76E+15,238,3090,3,0,0,Hello when do u post winners,positive,1,Hello when do u post winners
2762758,6/23/2020 12:43,Facebook,2.76E+15,238,3090,3533,0,0,"do yo take Food Stamps,",positive,1,"do yo take Food Stamps,"
2455426,5/26/2020 6:29,Facebook,2.77E+15,238,3090,60,1,1,Do you ever come to Kentucky,positive,1,Do you ever come to Kentucky
2945696,7/8/2020 18:10,Facebook,2.77E+15,238,3090,3532,0,0,Prices,positive,1,Prices
2346870,5/15/2020 13:44,Facebook,2.77E+15,238,3090,3532,0,0,How much are cases,positive,1,How much are cases
3445318,8/23/2020 20:06,Facebook,2.78E+15,238,3090,3670,0,0,Thank you !,positive,1,Thank you !
2945319,7/8/2020 17:44,Facebook,2.78E+15,238,3090,4,0,0,"Hello,\nI sent a message to email but I would like to know the pricing of each case. Thank you!",positive,1,"Hello,\nI sent a message to email but I would like to know the pricing of each case. Thank you!"
2531984,6/2/2020 2:19,Facebook,2.78E+15,238,3090,3532,0,0,Where do u find the list of different meats n prices?,positive,1,"Where do u find the list of different meats n prices?, Curious mostly about price ans availability on alll meats seafood"
2532044,6/2/2020 2:23,Facebook,2.78E+15,238,3103,-1,0,0,Curious mostly about price ans availability on alll meats seafood,positive,1,Curious mostly about price ans availability on alll meats seafood
2324492,5/13/2020 16:05,Facebook,2.79E+15,238,3103,-1,0,2,Are you taking order online and delivery at home ?,positive,1,Are you taking order online and delivery at home ?
2844547,6/30/2020 0:40,Facebook,2.79E+15,238,3090,3532,0,0,Can I have a price list for Dubois PA,positive,1,Can I have a price list for Dubois PA
4140080,10/20/2020 17:01,Facebook,2.79E+15,533,-1,-1,0,0,Two legged or four?,positive,1,Two legged or four?
2789437,6/25/2020 12:14,Facebook,2.79E+15,238,3090,3539,0,0,I have a screen shot to get a free box or something like that,positive,1,I have a screen shot to get a free box or something like that
3194670,7/31/2020 20:42,Facebook,2.79E+15,238,3103,-1,0,2,Halifax,positive,1,Halifax
2742685,6/21/2020 17:12,Facebook,2.79E+15,238,3090,3531,0,0,What's the lineup?,positive,1,What's the lineup?
2782996,6/24/2020 21:37,Facebook,2.80E+15,238,3090,60,1,1,"I live in Powhatan, VA are you doing anything close by?",positive,1,"I live in Powhatan, VA are you doing anything close by?"
2461675,5/26/2020 20:31,Facebook,2.80E+15,238,3090,3532,0,0,Price,positive,1,Price
4380160,11/9/2020 22:22,Facebook,2.80E+15,238,3090,60,1,1,No,negative,0,No
2716453,6/19/2020 8:01,Facebook,2.80E+15,238,3090,3525,0,0,Beef,positive,1,Beef
2395016,5/19/2020 20:05,Facebook,2.80E+15,238,3090,3532,0,0,What are your prices,positive,1,What are your prices
2380131,5/18/2020 22:44,Facebook,2.80E+15,238,3090,3531,0,0,Where are your meat products from? Are they from the USA and processed in the USA?,positive,1,Where are your meat products from? Are they from the USA and processed in the USA?
2632026,6/11/2020 20:58,Facebook,2.80E+15,238,3090,3539,0,0,How does the coupon work?,positive,1,How does the coupon work?
2719563,6/19/2020 16:12,Facebook,2.81E+15,238,3090,3534,0,0,What kind of food do you serve?,positive,1,What kind of food do you serve?
2521864,6/1/2020 5:30,Facebook,2.81E+15,238,3090,3531,0,0,Can I see a menu?,positive,1,Can I see a menu?
2751632,6/22/2020 15:02,Facebook,2.81E+15,238,3090,3533,0,0,do you accept EBT?,positive,1,do you accept EBT?
2632854,6/11/2020 22:07,Facebook,2.81E+15,238,3090,4,0,0,I do not have a lot of money that why I asked,negative,0,"I do not have a lot of money that why I asked, how much is it, how much is you steak and seafood"
2632948,6/11/2020 22:11,Facebook,2.81E+15,238,3090,3532,0,0,how much is it,positive,1,"how much is it, how much is you steak and seafood"
2632826,6/11/2020 22:04,Facebook,2.81E+15,238,3090,3528,0,0,how much is you steak and seafood,positive,1,how much is you steak and seafood
2975192,7/11/2020 15:53,Facebook,2.81E+15,238,3090,60,1,2,How long u going to be at pep boys,positive,1,How long u going to be at pep boys
2549071,6/3/2020 18:25,Facebook,2.81E+15,238,3090,3528,0,0,where is meats and seafood from??,positive,1,where is meats and seafood from??
2401287,5/20/2020 13:31,Facebook,2.82E+15,238,3090,4,0,0,Lol did that no info,negative,0,Lol did that no info
2802822,6/26/2020 13:35,Facebook,2.82E+15,238,3090,4,0,2,"It's nice that you run such a great business! You don't even respond to people's simple question's. Which most likely means no one won because there was no prize! Got to love false advertising and a company that lies! I'll make sure to make people aware of your fraudulent advertising! I spent a little over $1200 the first day at your pop up site, as well as sending you 15 friends and neighbors that spent at least $400 each! One would think that you could return a message about a prize, which was obviously just a ploy to get people there! Guess you don't need returning customer's!! Have a wonderful day!",negative,0,"It's nice that you run such a great business! You don't even respond to people's simple question's. Which most likely means no one won because there was no prize! Got to love false advertising and a company that lies! I'll make sure to make people aware of your fraudulent advertising! I spent a little over $1200 the first day at your pop up site, as well as sending you 15 friends and neighbors that spent at least $400 each! One would think that you could return a message about a prize, which was obviously just a ploy to get people there! Guess you don't need returning customer's!! Have a wonderful day!, Who won the freebies at tractor supply? for some reason it wouldn't let me look! I stood in line and ordered chicken pork and steak cases for three different households, and in the first three days you were there and open I sent 15 other people that bought stuff. so I'm just curious who won."
2403068,5/20/2020 16:29,Facebook,2.82E+15,238,3090,3526,0,0,"Who won the freebies at tractor supply? for some reason it wouldn't let me look! I stood in line and ordered chicken pork and steak cases for three different households, and in the first three days you were there and open I sent 15 other people that bought stuff. so I'm just curious who won.",negative,0,"Who won the freebies at tractor supply? for some reason it wouldn't let me look! I stood in line and ordered chicken pork and steak cases for three different households, and in the first three days you were there and open I sent 15 other people that bought stuff. so I'm just curious who won."
4242417,10/28/2020 19:16,Facebook,2.82E+15,238,3135,-1,0,0,(202)281-8862,positive,1,(202)281-8862
2498345,5/29/2020 14:52,Facebook,2.82E+15,238,3090,3526,0,0,How much is a box of seafood and chicken,positive,1,"How much is a box of seafood and chicken, How much is a box of seafood and chicken"
2498345,5/29/2020 14:52,Facebook,2.82E+15,238,3090,3526,0,0,How much is a box of seafood and chicken,positive,1,How much is a box of seafood and chicken
2536115,6/2/2020 16:21,Facebook,2.82E+15,238,3090,4,0,0,I plan to come on Saturday but I want to Makesure if I have enough money.,positive,1,I plan to come on Saturday but I want to Makesure if I have enough money.
2500125,5/29/2020 17:14,Facebook,2.82E+15,238,3090,3,0,0,"hello, what kind of seafood do you sell?",positive,1,"hello, what kind of seafood do you sell?"
3015595,7/15/2020 18:06,Facebook,2.83E+15,238,3090,3532,0,0,Pricing,positive,1,Pricing
2484888,5/28/2020 12:59,Facebook,2.83E+15,238,3090,1187,0,0,A refund,negative,0,A refund
2597281,6/8/2020 21:46,Facebook,2.83E+15,238,3090,4,0,0,Do you come to Mt Pocono or Stroudsburg Pa ??,positive,1,Do you come to Mt Pocono or Stroudsburg Pa ??
3661263,9/10/2020 16:47,Facebook,2.83E+15,238,3090,3526,0,0,Steak strips we bought at Shelbyville Illinois are TOUGH. Need ran over by a truck to tenderize.,negative,0,"Steak strips we bought at Shelbyville Illinois are TOUGH. Need ran over by a truck to tenderize., No, Where do we find prices?"
3661315,9/10/2020 16:50,Facebook,2.83E+15,238,3090,60,1,3,No,negative,0,"No, Where do we find prices?"
2368778,5/17/2020 22:01,Facebook,2.83E+15,238,3090,3532,0,0,Where do we find prices?,positive,1,Where do we find prices?
2554022,6/4/2020 2:06,Facebook,2.83E+15,238,3090,3534,0,0,How many lbs of meat and of what kinds do u get for $389??,positive,1,How many lbs of meat and of what kinds do u get for $389??
3641857,9/8/2020 22:48,Facebook,2.83E+15,238,3090,3533,0,0,I was wanting to know if u guys took ebt,positive,1,"I was wanting to know if u guys took ebt, Hi do u guys take ebt?"
3641854,9/8/2020 22:47,Facebook,2.83E+15,238,3090,3,0,0,Hi do u guys take ebt?,positive,1,Hi do u guys take ebt?
2339775,5/14/2020 19:37,Facebook,2.84E+15,238,3090,3,0,0,Hi do you accept EBT???,positive,1,"Hi do you accept EBT???, Do you accept EBT"
2339781,5/14/2020 19:37,Facebook,2.84E+15,238,3090,3533,0,0,Do you accept EBT,positive,1,Do you accept EBT
2603118,6/9/2020 14:33,Facebook,2.84E+15,238,3090,3532,0,0,Price?,positive,1,Price?
2644342,6/12/2020 19:14,Facebook,2.84E+15,238,3090,4,0,4,bye,positive,1,"bye, r u gonna be there on sat - tomorrow, i just gave u ny name n number n email address, im done answring ?s - i did this 4 times already"
2644188,6/12/2020 19:04,Facebook,2.84E+15,238,3090,60,1,2,r u gonna be there on sat - tomorrow,positive,1,"r u gonna be there on sat - tomorrow, i just gave u ny name n number n email address, im done answring ?s - i did this 4 times already"
2644303,6/12/2020 19:12,Facebook,2.84E+15,238,3103,-1,0,2,i just gave u ny name n number n email address,negative,0,"i just gave u ny name n number n email address, im done answring ?s - i did this 4 times already"
2644340,6/12/2020 19:14,Facebook,2.84E+15,238,3090,60,1,3,im done answring ?s - i did this 4 times already,negative,0,im done answring ?s - i did this 4 times already
2722407,6/19/2020 20:02,Facebook,2.84E+15,238,3090,3532,0,0,Case how much we saw an as 29.99,positive,1,Case how much we saw an as 29.99
3088214,7/22/2020 16:36,Facebook,2.84E+15,238,3090,3,0,0,"Hello! Just curious about the meat sale in Cheboygan, is it still happening?",negative,0,"Hello! Just curious about the meat sale in Cheboygan, is it still happening?"
2540128,6/2/2020 21:28,Facebook,2.84E+15,238,3103,-1,0,0,Chanda.cunningham@icloud.com,positive,1,Chanda.cunningham@icloud.com
3085578,7/22/2020 13:24,Facebook,2.84E+15,238,3090,3670,0,0,Oh ok thx. How about a list of what u sell,positive,1,Oh ok thx. How about a list of what u sell
3430921,8/22/2020 16:23,Facebook,2.85E+15,238,3090,3672,0,2,Can I talk to a real person,Negative,0,Can I talk to a real person
2632023,6/11/2020 20:58,Facebook,2.85E+15,238,3090,4,0,0,Do you have any king crab or snow crab,positive,1,Do you have any king crab or snow crab
2498265,5/29/2020 14:47,Facebook,2.85E+15,238,3090,3540,0,0,what other stead do you have besides ribeye that is lean,positive,1,what other stead do you have besides ribeye that is lean
2699610,6/17/2020 21:29,Facebook,2.85E+15,238,3090,60,1,1,Are u all doing front royal southern states,positive,1,Are u all doing front royal southern states
3391351,8/19/2020 15:44,Facebook,2.85E+15,238,3090,3533,0,0,Snap or eat as well?,positive,1,Snap or eat as well?
2451586,5/25/2020 20:57,Facebook,2.85E+15,238,3090,3526,0,0,How much for steak chicken pork,positive,1,How much for steak chicken pork
2411087,5/21/2020 12:11,Facebook,2.85E+15,238,3090,3531,0,0,Do you have a list of what you have and the prices?,positive,1,"Do you have a list of what you have and the prices?, Do you have a list of what you have and the prices?"
2411087,5/21/2020 12:11,Facebook,2.85E+15,238,3090,3531,0,0,Do you have a list of what you have and the prices?,positive,1,Do you have a list of what you have and the prices?
2467745,5/27/2020 12:29,Facebook,2.85E+15,238,3090,3532,0,0,Do you have a price list,positive,1,Do you have a price list
2564836,6/4/2020 21:45,Facebook,2.86E+15,238,3090,4,0,0,"Real human would be nice, not automated",negative,0,"Real human would be nice, not automated"
4402166,11/11/2020 18:13,Facebook,2.86E+15,238,3103,-1,0,0,Va,positive,1,"Va, Scallop and shrimp"
4402186,11/11/2020 18:14,Facebook,2.86E+15,238,3090,3528,0,0,Scallop and shrimp,positive,1,Scallop and shrimp
4682126,12/2/2020 23:22,Facebook,2.86E+15,238,3090,3953,0,2,Is u in cheraw SC,positive,1,"Is u in cheraw SC, How much, Where are you located, Can you take A food stamp card"
4681998,12/2/2020 23:14,Facebook,2.86E+15,238,3090,3532,0,2,How much,positive,1,"How much, Where are you located, Can you take A food stamp card"
4681962,12/2/2020 23:12,Facebook,2.86E+15,238,3090,3537,0,0,Where are you located,positive,1,"Where are you located, Can you take A food stamp card"
4682091,12/2/2020 23:19,Facebook,2.86E+15,238,3090,3533,0,2,Can you take A food stamp card,positive,1,Can you take A food stamp card
2684976,6/16/2020 18:47,Facebook,2.87E+15,238,3090,3533,0,0,What type of payments do you accept?,positive,1,What type of payments do you accept?
2626151,6/11/2020 13:40,Facebook,2.87E+15,238,3103,-1,0,0,Blackstone,positive,1,Blackstone
2783590,6/24/2020 22:41,Facebook,2.87E+15,238,3090,60,1,1,Forget it,negative,0,Forget it
3016594,7/15/2020 19:26,Facebook,2.87E+15,238,3090,3670,0,0,We found out to late. Thanks anyway.,positive,1,We found out to late. Thanks anyway.
2404711,5/20/2020 18:47,Facebook,2.87E+15,238,3090,60,1,1,"Ok, nice talking to a computer!",positive,1,"Ok, nice talking to a computer!"
2809375,6/26/2020 21:20,Facebook,2.87E+15,238,3090,60,1,1,Any chance of you guys being near zip code 21536,positive,1,Any chance of you guys being near zip code 21536
2378991,5/18/2020 21:11,Facebook,2.87E+15,238,3090,3527,0,0,intent-trigger-3527,positive,1,intent-trigger-3527
2526413,6/1/2020 17:45,Facebook,2.87E+15,238,3090,3532,0,0,can i see a list of meats and prices,positive,1,can i see a list of meats and prices
